Date;Produit;Region;Valeur
13/03/2022;CLEMENTINES;Casablanca-Settat;3.8
13/03/2022;DATTES NATIONALES;Casablanca-Settat;32
13/03/2022;PASTEQUES;Casablanca-Settat;9
13/03/2022;PATES ALIMENTAIRES;Casablanca-Settat;12
13/03/2022;BANANES LOCALES;Casablanca-Settat;7.25
13/03/2022;POMMES IMPORTES;Casablanca-Settat;20
13/03/2022;CONSERVE DE THON;Casablanca-Settat;90
13/03/2022;POMMES LOCALES;Casablanca-Settat;17.95
13/03/2022;POIRES;Casablanca-Settat;14.95
13/03/2022;THE VERT;Casablanca-Settat;20.5
13/03/2022;THE VERT SULTAN;Casablanca-Settat;17.5
13/03/2022;DATTES MAJHOUL;Casablanca-Settat;120
13/03/2022;COINGS;Casablanca-Settat;6
13/03/2022;MANGUES;Casablanca-Settat;32
13/03/2022;KIWI;Casablanca-Settat;30
13/03/2022;KAKI;Casablanca-Settat;24
13/03/2022;FRAISES;Casablanca-Settat;13
13/03/2022;CONCOMBRES;Casablanca-Settat;3.5
13/03/2022;AILS;Casablanca-Settat;40
13/03/2022;ARTICHAUTS;Casablanca-Settat;4
13/03/2022;AUBERGINES;Casablanca-Settat;5.5
13/03/2022;BETTERAVES ROUGE;Casablanca-Settat;2
13/03/2022;CAROTTES;Casablanca-Settat;5.95
13/03/2022;CHOUX FLEURS;Casablanca-Settat;3.33
13/03/2022;F‚VE;Casablanca-Settat;5
13/03/2022;FEVES SECHES;Casablanca-Settat;12
13/03/2022;HARICOT SECS;Casablanca-Settat;18
13/03/2022;LENTILLES;Casablanca-Settat;18
13/03/2022;PETITS POIS SECS;Casablanca-Settat;12
13/03/2022;POIS CHICHE;Casablanca-Settat;18
13/03/2022;CHOUX POMMES;Casablanca-Settat;2.5
13/03/2022;COURGETTES;Casablanca-Settat;8.95
13/03/2022;FEVES VERTES;Casablanca-Settat;3
13/03/2022;COSCOUSS;Casablanca-Settat;17
13/03/2022;LAITUE;Casablanca-Settat;2
13/03/2022;CORIANDRE;Casablanca-Settat;1
13/03/2022;TOMATES;Casablanca-Settat;9.95
13/03/2022;POMMES DE TERRE ROUGES;Casablanca-Settat;5.95
13/03/2022;POMMES DE TERRE BLANCHES;Casablanca-Settat;5.95
13/03/2022;POIVRONS VERTS;Casablanca-Settat;6.9
13/03/2022;PIMENTS;Casablanca-Settat;15
13/03/2022;PETITS POIS VERTS;Casablanca-Settat;13
13/03/2022;PERSIL;Casablanca-Settat;1
13/03/2022;OIGNONS SECS;Casablanca-Settat;6
13/03/2022;OIGNONS FRAIS;Casablanca-Settat;2.8
13/03/2022;OIGNONS;Casablanca-Settat;7.95
13/03/2022;NAVETS;Casablanca-Settat;8.95
13/03/2022;MENTHE;Casablanca-Settat;1
13/03/2022;HARICOTS VERTS;Casablanca-Settat;13
12/03/2022;FEVEROLES;Casablanca-Settat;7.5
12/03/2022;MAùS LOCALE;Casablanca-Settat;6
12/03/2022;ORGE LOCALE;Casablanca-Settat;5.5
12/03/2022;MAùS IMPORTê;Casablanca-Settat;5
